Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keteragan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),Produksi Tahunan (ton),Target Produksi Harian (ton),Produksi Aktual Harian (ton),Pencapaian (%),Jumlah Ekskavator,Jumlah Truk Tambang,Ketersediaan Fisik (PA) %,Penggunaan Ketersediaan (UA) %,Jam Downtime,Konsumsi BBM (Liter),Biaya Penambangan per Ton (Rp),Biaya Pengangkutan per Ton (Rp),Biaya Penanganan Pelabuhan per Ton (Rp),Biaya Pemrosesan Smelter per Ton (Rp),AISC per Ton (Rp),CAPEX / OPEX,TRIFR,LTIFR,Jumlah Insiden,Indikator Fatalitas,Harga Nikel Historis (Rp/Ton),Nilai Tukar (Rp/USD),Pembeli / Offtaker,Jenis Kontrak
Malili,Luwu Timur,Nikel Desa Harapan dan Desa Pongkeru,283.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Desa Harapan dan Desa Pongkeru,Sulawesi Selatan,Operasi Produksi,7458000,91480.27,"Blok Kande Api Baru, Kande Api Lama, Landau, KM 17","PT Citra Lampia Mandiri, Laporan RKAB Tahun 2022",1301,121.153,-2.788,IUP,Desa Harapan Kec Malili Kab Luwu Timur,2660,"November 3, 2029","Juli 6, 2018",10999.274,427.609,34735.389,633876,5457,5665,103.81,18,39,89.13,88.21,27.3,21266,241495,80806,77342,712769,1112412,OPEX,2.21,0.36,1,Tidak,263562245,15911,PT IWIP,FOB Motorship
Towuti,Luwu Timur,Nikel Limonite Sorowako,281.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Limonite Sorowako,Sulawesi Selatan,Eksplorasi,0,0,"Kadar Ni 1,38%","PT INCO, RKAB 2012, Data Sumber Daya dan Cadangan per September 2011",1299,121.386,-2.617,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,,1660934,3782,3498,92.49,25,44,86.02,74.05,26,16732,267371,91225,72978,471164,902738,CAPEX,1.58,0.38,1,Tidak,344250926,15541,PT GNI,CIF
Wasuponda,Luwu Timur,Nikel Soroako-Petea HPAL,1.921.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako-Petea HPAL,Sulawesi Selatan,Eksplorasi,0,0,Saprolit,"PT INCO, RKAB 2012, Data Sumber Daya dan Cadangan per September 2011",1453,121.242,-2.642,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,,1481857,3232,3047,94.28,18,54,85.39,80.84,5.2,17207,247079,78958,62833,579756,968626,CAPEX,0.51,0.29,2,Tidak,297510835,15583,PT Aneka Tambang,CIF
Malili,Luwu Timur,Nikel Ussu,2.136.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ussu,Sulawesi Selatan,Operasi Produksi,2244375,2.854.271.728,Blok C dan Blok DEF,"PT Prima Utama Lestari, Laporan Sumber Daya dan Cadangan Tahun 2019",1485,121.075,-2.571,IUP,"Desa Ussu, Kec. Malili, Kab.Luwu Timur",1419,"April 18, 2031","April 18, 2011",7801.659,1707.929,33707.756,1158317,2822,2605,92.31,16,66,89.5,84.03,40.4,23714,321272,125964,48910,645243,1141389,CAPEX,1.8,0.43,1,Tidak,281917397,15809,PT IMIP,FOB Motorship
Malili,Luwu Timur,Nikel Blok Pongkeru dan Blok Harapan,2.816.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Pongkeru dan Blok Harapan,Sulawesi Selatan,Operasi Produksi,0,0,"2 blok, kadar Ni 0,6% s.d. 3,1%","PT Sumber Wahau Jaya, Laporan RKAB Tahun 2020",1634,121.153,-2.7885,IUP,Desa Harapan dan Pongkeru. Kec malili,303,"September 17, 2031","September 10, 2021",11026.502,449.858,34773.727,1149522,3911,3588,91.74,25,65,85.25,89.06,19.9,13068,258827,65303,39990,539070,903190,OPEX,2.15,0.15,0,Tidak,294606097,16044,PT IMIP,Spot Contract
Malili,Luwu Timur,Nikel Malili,2.549.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Malili,Sulawesi Selatan,Operasi Produksi,0,0,Limonit-Saprolit,"PT Tiga Samudera Perkasa, Laporan Eksplorasi Tahun 2016 (Tabulasi Dinas ESDM Provinsi)",1571,121.138,-2.629,IUP,"Malili, Luwu Timur",3000,"Januari 23, 2038","Januari 23, 2018",5868.821,364.056,27488.922,1787896,3822,3452,90.32,23,41,87.15,82.2,44.5,11237,331696,73067,72586,405649,882998,CAPEX,0.75,0.44,2,Tidak,275593908,15680,PT GNI,Spot Contract
Nuha,Luwu Timur,Nikel Soroako West Block,278.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako West Block,Sulawesi Selatan,Operasi Produksi,269400000,1555750,Bijih kering,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1296,121.355,-2.56,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",31160.467,45.123,2820.245,628918,2608,2369,90.84,12,58,94.43,75.1,21.8,24885,386968,74998,69265,429379,960610,CAPEX,0.55,0.36,1,Tidak,337055296,15743,PT Vale Indonesia,CIF
Nuha,Luwu Timur,Nikel Soroako East Block,279.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako East Block,Sulawesi Selatan,Operasi Produksi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1297,121.393,-2.56,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",35230.483,342.276,2001.533,1546052,1493,1383,92.63,24,37,94.21,82.51,30.4,15697,365919,140579,42084,771067,1319649,OPEX,0.22,0.4,0,Tidak,349940892,15677,PT Vale Indonesia,CIF
Towuti,Luwu Timur,Nikel Petea,280.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Petea,Sulawesi Selatan,Eksplorasi Rinci,0,0,Saprolit,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1298,121.535,-2.518,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,,802204,2021,1835,90.8,25,58,94.6,76.41,17.2,16906,389590,144447,59491,642054,1235582,CAPEX,0.31,0.33,1,Tidak,258491609,15742,PT Aneka Tambang,FOB Motorship
Towuti,Luwu Timur,Nikel Soroako Outer SOA,282.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako Outer SOA,Sulawesi Selatan,Eksplorasi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1300,121.715,-2.675,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566,"Desember 28, 2035","Mei 3, 2024",,,,641266,5330,5270,98.87,17,46,89.12,89.52,12.2,10222,204890,100020,60933,505829,871672,CAPEX,1.95,0.42,2,Ya,321868967,15503,PT IWIP,FOB Motorship
