Name;Province;UNLCODE;Latitude;Longitude;VesselInPort;ExpectedArrival;RecentPortCalls;Type
KISAR;MALUKU;-;-08.0794;127.1479;0;0;0;PORT
LETI;MALUKU;-;-0.1685;127.6626;0;0;0;PORT
SAUMLAKI;MALUKU;IDSXK;-07.9829;131.2947;2;1;3;PORT
SAUMLAKI ANCH;MALUKU;-;-07.9875;131.2734;1;0;2;ANCHORAGE
DOBO;MALUKU;IDDOB;-05.7524;134.2115;0;0;0;PORT
TUAL;MALUKU;IDTUA;-05.6351;132.7407;12;5;9;PORT
TUAL ANCH;MALUKU;-;-5.5965;132.7410;4;0;4;ANCHORAGE
BANDA NEIRA;MALUKU;IDNDA;-04.5248;129.8969;0;2;0;PORT
BULA;MALUKU;IDBUA;-03.0990;130.5035;0;0;0;PORT
KOBI SADAR;MALUKU;-;-02.9080;129.8119;0;1;0;PORT
MASOHI;MALUKU;-;-03.2956;128.9527;0;0;0;PORT
AMAHAI;MALUKU;IDAHI;-03.3386;128.9205;1;0;1;PORT
AMBON;MALUKU;IDAMQ;-03.6886;128.1811;6;3;19;PORT
AMBON ANCH;MALUKU;-;-03.6780;128.1497;7;0;11;ANCHORAGE
WAYAME;MALUKU;-;-03.6651;128.1745;7;4;11;PORT
NAMROLE;MALUKU;IDNRE;-03.8520;126.7256;0;0;0;PORT
TIFU;MALUKU;-;-03.7132;126.3997;0;0;0;PORT
NAMLEA;MALUKU;IDNAM;-03.2778;127.0877;0;1;2;PORT
OBI ISLAND;MALUKU UTARA;IDOBI;-01.5513;127.4012;21;15;39;PORT
JIKOTAMO;MALUKU UTARA;-;-01.3413;127.6562;0;0;0;PORT
KUPAL;MALUKU UTARA;-;-00.6679;127.4732;0;0;0;PORT
LABUHA;MALUKU UTARA;IDLAH;-00.6318;127.4792;0;0;0;PORT
BABANG;MALUKU UTARA;-;-00.6252;127.6051;1;0;0;PORT
GEBE;MALUKU UTARA;IDGEB;-00.1095;129.4452;4;3;2;OFFSHORE_TERMINAL
WEDA;MALUKU UTARA;IDWEB;00.3270;127.8743;0;0;0;PORT
TERNATE;MALUKU UTARA;IDTTE;00.7794;127.3875;2;5;11;PORT
TERNATE ANCH;MALUKU UTARA;-;00.7937;127.4087;0;0;1;ANCHORAGE
TANJUNG BULI;MALUKU UTARA;IDTBU;00.8273;128.2594;1;0;1;PORT
TOBELO;MALUKU UTARA;IDTBO;01.7258;128.0172;0;0;0;PORT
GALELA;MALUKU UTARA;IDGLX;01.8252;127.8476;0;1;0;PORT
