Name;Province;UNLCODE;Latitude;Longitude;VesselInPort;ExpectedArrival;RecentPortCalls;Type
JAMPEA;SULAWESI SELATAN;-;-07.0581;120.6100;0;0;0;PORT 
BENTENG;SULAWESI SELATAN;-;-06.1166;120.4512;0;0;0;PORT
MAKASSAR ANCH;SULAWESI SELATAN;-;-05.1195;119.3628;17;0;22;ANCHORAGE
MAKASSAR;SULAWESI SELATAN;IDMAK;-05.1236;119.4177;29;13;29;PORT
BIRINGKASSI ANCH;SULAWESI SELATAN;-;-04.8226;119.4630;9;0;3;ANCHORAGE
BIRINGKASSI;SULAWESI SELATAN;IDBIR;-04.8173;119.4832;5;1;1;PORT
BAJOE;SULAWESI SELATAN;-;-04.5457;120.4049;0;0;0;PORT
GARONGKONG;SULAWESI SELATAN;-;-04.3684;119.6116;0;1;0;PORT
GARONGKONG ANCH;SULAWESI SELATAN;-;-04.3606;119.6013;1;0;0;ANCHORAGE
PAREPARE;SULAWESI SELATAN;IDPAP;-04.0091;119.6256;1;3;2;PORT
PALOPO;SULAWESI SELATAN;IDPPO;-03.0448;120.2479;0;0;1;PORT
PALOPO ANCH;SULAWESI SELATAN;-;-03.0457;120.3365;1;0;1;ANCHORAGE
MALILI;SULAWESI SELATAN;IDMLI;-02.6406;121.0865;0;2;0;PORT
MALILI ANCH;SULAWESI SELATAN;-;-02.7144;121.0317;0;0;0;ANCHORAGE
MANGKASA;SULAWESI SELATAN;-;-02.7392;121.0668;0;0;0;PORT
MANGKASA ANCH;SULAWESI SELATAN;-;-02.7462;121.0404;0;0;0;ANCHORAGE
KOLAKA;SULAWESI TENGGARA;IDKOL;-04.0555;121.5782;0;1;1;PORT
KOLAKA ANCH;SULAWESI TENGGARA;-;-04.0679;121.5436;0;0;0;ANCHORAGE
POMALAA ANCH;SULAWESI TENGGARA;-;-04.1589;121.5839;0;0;0;ANCHORAGE
POMALAA;SULAWESI TENGGARA;IDPUM;-04.1746;121.5984;0;1;0;PORT
BATU PUTIH;SULAWESI TENGGARA;-;-04.7929;121.6282;0;1;0;PORT
BAUBAU;SULAWESI TENGGARA;IDBUW;-05.4578;122.5954;2;8;9;PORT
RAHA;SULAWESI TENGGARA;IDRAQ;-04.8350;122.7353;0;0;0;PORT
KENDARI;SULAWESI TENGGARA;IDKDI;-03.9778;122.5878;40;9;55;PORT
BAHUDOPI;SULAWESI TENGAH;IDBAH;-02.8077;122.1647;6;50;1;PORT
TANJUNG MERPATI;SULAWESI TENGAH;-;-01.9976;121.4424;4;0;3;PORT
MIGAS LNG BATUI;SULAWESI TENGAH;-;-01.2564;122.5858;4;0;0;PORT
LUWUK;SULAWESI TENGAH;IDLUW;-00.9496;122.7987;0;4;0;PORT
LUWUK ANCH;SULAWESI TENGAH;-;-01.0328;122.8977;0;0;0;ANCHORAGE
PAGIMANA;SULAWESI TENGAH;IDPGM;-00.7939;122.6588;0;0;0;PORT
BANGGAI;SULAWESI TENGAH;IDBGG;-01.5904;123.4971;0;0;0;PORT
BAKAU;SULAWESI TENGAH;-;-01.1352;119.3896;0;0;0;PORT
PANTOLOAN;SULAWESI TENGAH;IDPTL;-00.7134;119.8552;1;2;7;PORT
TOLITOLI;SULAWESI TENGAH;IDTLI;01.0421;120.8048;0;0;0;PORT
TOLITOLI ANCH;SULAWESI TENGAH;-;01.0385;120.7891;0;0;0;ANCHORAGE
GORONTALO;GORONTALO;IDGTO;00.5042;123.0606;0;2;0;PORT
ANGGREK;GORONTALO;IDAGR;00.8609;122.7971;0;0;0;PORT
LABUAN UKI;GORONTALO;-;00.8542;123.9328;0;0;0;PORT
AMURANG;SULAWESI UTARA;IDTZD;01.1935;124.5676;0;1;1;PORT
MANADO;SULAWESI UTARA;IDMDC;01.4933;124.8358;0;0;0;PORT
LIKUPANG;SULAWESI UTARA;-;01.7008;125.0162;1;1;1;PORT
BITUNG;SULAWESI UTARA;IDBIT;01.4365;125.1904;24;7;31;PORT
BITUNG ANCH;SULAWESI UTARA;-;01.4136;125.1659;19;0;30;ANCHORAGE
MELOGUANNE;SULAWESI UTARA;IDMNA;04.0000;126.6833;0;0;2;PORT
